City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
301,Talaya,RU,61.3833,152.75,34.86,96,91,3.49,overcast clouds
302,Umm Kaddadah,SD,13.6017,26.6876,86.27,50,100,11.52,overcast clouds
303,Magdagachi,RU,53.45,125.8,59.23,90,100,6.91,overcast clouds
304,Vacha,RU,55.8008,42.7706,63.61,57,71,5.97,broken clouds
305,Lunca,RO,43.8333,24.7667,90.28,19,37,6.62,scattered clouds
306,Manggar,ID,-2.8833,108.2667,81.99,77,73,10.6,broken clouds
307,Flinders,AU,-34.5833,150.8552,56.17,66,4,7.0,clear sky
308,Ylojarvi,FI,61.5563,23.5961,64.31,43,0,8.05,clear sky
309,Awjilah,LY,29.1081,21.2869,106.5,8,0,14.67,clear sky
310,Bilibino,RU,68.0546,166.4372,40.26,90,100,4.29,overcast clouds
311,Obo,CF,5.3998,26.4869,75.45,76,89,1.45,overcast clouds
312,Upernavik,GL,72.7868,-56.1549,45.19,80,18,6.44,few clouds
313,Cariati,IT,39.4922,16.9594,102.27,42,10,3.11,clear sky
314,Sherman,US,33.6357,-96.6089,87.62,54,75,5.75,broken clouds
315,Geraldton,AU,-28.7667,114.6,48.61,81,0,11.5,clear sky
316,Forestville,US,38.8451,-76.875,82.24,54,40,12.66,scattered clouds
317,Vero Beach,US,27.6386,-80.3973,78.06,88,75,10.36,mist
318,Playa Del Carmen,MX,20.6274,-87.0799,91.35,67,40,8.05,scattered clouds
319,Shelburne,CA,44.0787,-80.2041,79.27,26,6,6.11,clear sky
320,Creel,MX,27.75,-107.6333,70.36,43,26,11.3,scattered clouds
321,Saldanha,ZA,-33.0117,17.9442,57.56,91,2,11.5,clear sky
322,Klyuchevskiy,RU,53.5317,119.4519,56.39,98,100,3.2,light rain
323,Pryshyb,UA,47.2603,35.3228,77.25,47,48,5.95,scattered clouds
324,Khandyga,RU,62.6667,135.6,55.17,39,0,3.56,clear sky
325,Yumen,CN,40.2833,97.2,76.3,14,0,10.92,clear sky
326,Seymchan,RU,62.8833,152.4333,39.69,91,100,6.69,overcast clouds
327,Marawi,PH,7.9986,124.2928,72.64,90,98,5.7,overcast clouds
328,Eirunepe,BR,-6.6603,-69.8736,93.87,24,0,5.08,clear sky
329,Yima,CN,34.7381,111.8839,76.75,83,4,4.23,clear sky
330,Santa Rosa,PH,14.3122,121.1114,84.11,79,83,9.51,broken clouds
331,Circleville,US,39.6006,-82.946,82.81,69,98,5.41,overcast clouds
332,Seoul,KR,37.5683,126.9778,78.31,76,92,0.63,overcast clouds
333,Kilinochchi,LK,9.3961,80.3982,80.64,79,99,14.88,overcast clouds
334,Progreso,MX,21.2833,-89.6667,87.91,57,5,8.68,clear sky
335,Port Augusta,AU,-32.5,137.7667,48.7,90,29,5.3,scattered clouds
336,Kondinskoye,RU,59.6481,67.41,64.62,66,37,3.65,scattered clouds
337,Dhidhdhoo,MV,6.8833,73.1,82.8,78,100,10.45,overcast clouds
338,Mulege,MX,26.8833,-111.9833,91.02,55,57,8.43,broken clouds
339,Venkatagiri,IN,13.9667,79.5833,89.55,47,38,17.74,scattered clouds
340,Guarapari,BR,-20.6667,-40.4975,73.29,75,100,11.86,overcast clouds
341,Rapid City,US,44.0805,-103.231,82.33,60,1,1.01,smoke
342,Metro,ID,-5.1131,105.3067,74.71,90,46,5.44,scattered clouds
343,Bantou,CN,26.2151,117.4893,76.68,96,99,3.02,light rain
344,Rio Gallegos,AR,-51.6226,-69.2181,59.05,29,0,20.71,clear sky
345,Timiryazevskiy,RU,56.49,84.8769,62.1,91,92,1.43,light rain
346,Hambantota,LK,6.1241,81.1185,79.9,82,93,18.05,overcast clouds
347,Tuatapere,NZ,-46.1333,167.6833,35.82,84,100,2.53,overcast clouds
