City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
180,Santo Antonio Do Monte,-20.0872,-45.2936,68.5,12,1,8.28,BR,2021-07-29 19:11:59
181,Bonthe,7.5264,-12.505,78.24,74,28,6.58,SL,2021-07-29 19:12:00
182,Rawlins,41.7911,-107.2387,81.03,43,1,6.91,US,2021-07-29 19:12:00
183,Fenyi,27.8112,114.6681,78.04,93,22,1.59,CN,2021-07-29 19:12:00
184,Beroroha,-21.6667,45.1667,70.97,57,0,9.33,MG,2021-07-29 19:12:00
185,Havre-Saint-Pierre,50.2334,-63.5986,55.89,73,73,5.97,CA,2021-07-29 19:11:32
186,Port-Gentil,-0.7193,8.7815,77.14,77,33,13.98,GA,2021-07-29 19:12:01
187,Darnah,32.767,22.6367,80.94,71,0,19.66,LY,2021-07-29 19:12:01
188,Port Hedland,-20.3167,118.5667,68.05,94,40,8.05,AU,2021-07-29 19:12:01
189,San Cristobal,7.7669,-72.225,82.58,61,70,8.72,VE,2021-07-29 19:12:01
190,Borogontsy,62.6683,131.1683,48.81,56,1,6.15,RU,2021-07-29 19:12:02
191,Paciran,-6.8767,112.3761,76.46,82,91,5.28,ID,2021-07-29 19:12:02
192,Kungurtug,50.5994,97.5228,43.07,93,50,0.6,RU,2021-07-29 19:10:43
193,Kodiak,57.79,-152.4072,56.71,72,90,6.91,US,2021-07-29 19:12:02
194,Clyde River,70.4692,-68.5914,50.74,61,100,7.2,CA,2021-07-29 19:12:02
195,Sur,22.5667,59.5289,93.27,49,100,19.04,OM,2021-07-29 19:12:03
196,Hirara,24.8,125.2833,83.16,88,36,8.97,JP,2021-07-29 19:12:03
197,Monrovia,6.3005,-10.7969,77.95,74,88,7.11,LR,2021-07-29 19:07:50
198,Carballo,43.213,-8.691,73.58,73,0,3.13,ES,2021-07-29 19:12:03
199,Neuquen,-38.9516,-68.0591,66.09,32,0,5.75,AR,2021-07-29 19:07:38
200,Ternate,0.8,127.4,80.37,81,10,1.28,ID,2021-07-29 19:12:03
201,Ambanja,-13.6833,48.45,71.02,81,53,2.44,MG,2021-07-29 19:12:04
202,Mansa,29.9833,75.3833,81.52,86,15,6.22,IN,2021-07-29 19:12:04
203,Asau,46.4333,26.4,73.96,66,0,4.88,RO,2021-07-29 19:11:30
204,Pavlysh,48.9176,33.3569,72.54,75,5,5.57,UA,2021-07-29 19:10:13
205,Morristown,36.214,-83.2949,94.21,46,77,1.99,US,2021-07-29 19:11:24
206,Calabozo,8.9242,-67.4293,84.29,72,58,1.9,VE,2021-07-29 19:12:04
207,Maragogi,-9.0122,-35.2225,78.04,77,88,6.73,BR,2021-07-29 19:12:05
208,Mahebourg,-20.4081,57.7,69.26,79,79,22.57,MU,2021-07-29 19:12:05
209,Klaksvik,62.2266,-6.589,52.72,95,100,12.64,FO,2021-07-29 19:11:02
210,Lavumisa,-27.31,31.892,62.2,53,0,8.86,SZ,2021-07-29 19:12:05
211,Lubango,-14.9172,13.4925,58.48,22,6,3.78,AO,2021-07-29 19:12:05
212,Mabaruma,8.2,-59.7833,82.85,74,35,3.91,GY,2021-07-29 19:12:06
213,Paamiut,61.994,-49.6678,45.23,86,32,5.44,GL,2021-07-29 19:12:06
214,Port Hardy,50.6996,-127.4199,65.17,82,53,3.11,CA,2021-07-29 19:12:06
215,At-Bashi,41.1702,75.8106,62.06,70,100,1.28,KG,2021-07-29 19:12:06
216,Ajdabiya,30.7554,20.2263,82.89,63,0,17.54,LY,2021-07-29 19:10:12
217,Sitka,57.0531,-135.33,64.29,63,1,0.0,US,2021-07-29 19:12:07
218,Corner Brook,48.9667,-57.9484,65.21,57,71,12.62,CA,2021-07-29 19:12:07
219,Nata,8.3333,-80.5167,82.27,65,100,3.02,PA,2021-07-29 19:12:07
220,Nishihara,26.1842,127.7558,80.26,88,40,4.61,JP,2021-07-29 19:12:08
221,Longyearbyen,78.2186,15.6401,46.24,66,75,4.61,SJ,2021-07-29 19:12:08
222,Guerrero Negro,27.9769,-114.0611,80.42,59,4,14.61,MX,2021-07-29 19:12:08
223,Burnie,-41.0667,145.9167,50.05,84,7,12.82,AU,2021-07-29 19:12:08
224,Pallisa,1.145,33.7094,68.23,77,100,4.38,UG,2021-07-29 19:09:17
225,Baykit,61.67,96.37,60.01,99,63,3.0,RU,2021-07-29 19:12:09
226,Deltona,28.9005,-81.2637,97.05,65,90,1.99,US,2021-07-29 19:12:09
227,Marawi,7.9986,124.2928,72.64,83,93,4.63,PH,2021-07-29 19:10:35
228,Jinchang,38.4953,102.1739,77.61,20,0,2.33,CN,2021-07-29 19:12:09
229,Coquimbo,-29.9533,-71.3436,56.93,71,0,11.5,CL,2021-07-29 19:07:36
230,Alofi,-19.0595,-169.9187,74.93,74,53,17.11,NU,2021-07-29 19:12:10
231,Novoukrayinka,48.3264,31.5285,78.01,58,27,4.81,UA,2021-07-29 19:12:10
232,Calama,-22.4667,-68.9333,68.49,12,40,19.57,CL,2021-07-29 19:12:10
233,Poenari,45.3167,24.65,73.18,65,0,6.35,RO,2021-07-29 19:12:10
234,Upernavik,72.7868,-56.1549,42.15,96,100,11.79,GL,2021-07-29 19:08:28
235,Chunoyar,57.4467,97.3217,50.95,99,86,4.16,RU,2021-07-29 19:12:11
236,Talnakh,69.4865,88.3972,56.8,84,100,2.35,RU,2021-07-29 19:12:11
237,Avera,33.194,-82.5271,95.72,37,9,1.57,US,2021-07-29 19:12:11
238,Kilrush,52.6397,-9.4833,56.95,79,100,12.62,IE,2021-07-29 19:12:11
239,Bonavista,48.6499,-53.1147,63.43,73,11,6.02,CA,2021-07-29 19:12:12
240,Dukat,62.55,155.55,33.82,99,100,5.06,RU,2021-07-29 19:12:12
241,Avarua,-21.2078,-159.775,66.25,100,21,1.14,CK,2021-07-29 19:09:47
242,Provideniya,64.3833,-173.3,46.51,93,90,4.47,RU,2021-07-29 19:12:12
243,Baruun-Urt,46.6806,113.2792,65.88,74,21,7.81,MN,2021-07-29 19:12:12
244,Puerto Penasco,31.3167,-113.5333,89.91,68,70,8.01,MX,2021-07-29 19:07:17
245,Sao Joao Da Barra,-21.6403,-41.0511,68.09,56,45,26.49,BR,2021-07-29 19:09:51
246,Carnarvon,-24.8667,113.6333,66.27,81,75,11.5,AU,2021-07-29 19:09:55
247,Zhangjiakou,40.81,114.8794,66.13,89,99,1.28,CN,2021-07-29 19:10:15
248,Belyy Yar,53.6039,91.3903,51.69,93,0,4.47,RU,2021-07-29 19:12:13
249,Richmond Hill,43.8711,-79.4372,81.46,87,85,3.0,CA,2021-07-29 19:09:37
250,Nizhniy Kuranakh,58.8353,125.4869,47.55,89,5,1.88,RU,2021-07-29 19:12:13
251,Tocopilla,-22.092,-70.1979,68.97,58,46,9.95,CL,2021-07-29 19:12:13
